	intensity_height	retention_time	spectrum	adduct	precursor_mz	peak_id
562	3238875.75	5.724018	55.93455:37223 56.94232:18393 57.76386:3026 58.63383:3537 59.06044:5498 62.9633:3123 66.034:20479 72.93707:64753 83.06033:30778 90.94756:34349 107.06021:25175 108.95816:3906 118.436:3311 124.08685:1229939 129.09644:3689 148.08676:51917 165.1136:18577 180.88812:34031 189.11354:11223 195.87598:3918 197.89078:30027 198.89848:14332 206.14003:25730 208.8829:75232 213.88539:8268 214.89427:5892 215.90103:35426 226.89322:135266 231.90009:5261 236.87778:33422 238.91734:3862 247.16641:63608	[M+H]+	247.1664	562
563	439041.0	5.724018		[M+H]+	255.1701	563
564	1430566.375	5.724018	50.01546:3961 51.02317:12410 53.03875:59260 55.01807:4420 55.93457:2147 57.93491:1928 65.03854:8348 75.7957:1747 77.03851:15946 78.04626:3020 81.03353:7167 91.05413:116138 93.06979:90477 94.04116:3256 94.05254:1940 95.04904:105557 101.9626:1574 102.04623:4804 103.05408:118053 105.04465:30461 108.65332:1753 110.04836:1754 121.06464:817839 123.05505:4477 141.06589:11523 190.54459:1634 261.12305:238788	[M+H]+	261.1232	564
565	206432.375	5.724018		[M+H]+	262.1265	565
566	441962.9375	5.734543		[M+H]+	248.1698	566
567	441962.9375	5.734543		[M+H]+	248.1698	567
568	1720818.75	5.754491	50.88452:1306 51.71148:1398 53.03844:1291 68.04946:5266 70.06515:154756 70.94179:1664 72.99797:1420 88.02152:3191 88.07565:425515 88.11199:5832	[M+H-H2O]+	88.07564	568
569	244934.8125	5.754491		[M+H]+	342.181	569
570	1602680.25	5.798362	50.08775:1470 53.00225:1698 53.03874:2615 58.39318:1297 63.67043:1478 68.04955:26085 70.06513:1296503	[M+H]+	70.06514	570
571	724410.75	5.798362	50.08895:1148 51.2214:1222 61.82655:1102 65.03872:29540 66.24217:1440 67.04185:1804 67.05469:1367 68.04947:3578 80.04939:3920 82.06515:3577 84.74857:1267 92.04939:13704 93.04443:2987 94.05251:23979 109.07606:96718	[M+H]+	109.076	571
572	1855747.0	5.798362	68.04951:3670 70.06516:282799 95.02417:1950 98.23123:1267 112.03912:3161 112.05032:6076 112.05823:3273	[M+H]+	112.0868	572
573	15214155.0	5.798362	60.05583:25244 62.59687:10962 63.16034:11830 65.68621:12388 66.86642:10629 70.06519:1076792 71.04915:53393 112.08689:91760 125.39298:13304 130.09737:50910	[M+H]+	130.0974	573
574	996315.0	5.798362		[M+H]+	131.1007	574
575	18368652.0	5.798362	53.03888:6901 54.94709:21885 56.04975:4218 57.93498:6379 59.15953:4451 66.03403:7580 67.04173:38275 68.0497:16135 70.94168:22451 72.93705:5052 79.92545:4851 80.04935:17789 81.04488:21945 82.05273:18293 82.06507:15584 83.06001:6482 88.95216:11844 92.16866:4565 93.04481:18126 94.05251:138313 94.065:13441 95.06028:47956 96.06806:34086 106.05249:12426 107.06039:21485 108.06813:174834 109.07599:899386 110.0836:10742 111.05512:14352 111.09175:13090 111.96825:21175 116.97183:12790 121.07599:301314 124.06318:50949 129.97928:10596 139.0865:540504	[M+H]+	139.0865	575
